"Iteracion","X1","X2","X3","f_x"
1,-4,-4,-4,48
2,-3.95966260942758,-3.95966260942758,-3.95966260942758,47.9951702242403
3,-4.00045300500687,-4.00045300500687,-4.00045300500687,48.0109942583088
4,-3.95920929111418,-3.95920929111418,-3.95920929111418,48.0059442669128
5,-4.00093693049625,-4.00093693049625,-4.00093693049625,48.0230087991992
6,-3.95872465522547,-3.95872465522547,-3.95872465522547,48.017724385913
7,-4.00145545656224,-4.00145545656224,-4.00145545656224,48.0361917426549
8,-3.95820491739973,-3.95820491739973,-3.95820491739973,48.0306580782947
9,-4.00201290495834,-4.00201290495834,-4.00201290495834,48.0507212140923
10,-3.95764562180109,-3.95764562180109,-3.95764562180109,48.0449230950788
11,-4.0026143900238,-4.0026143900238,-4.0026143900238,48.0668133202704
12,-3.9570414800699,-3.9570414800699,-3.9570414800699,48.0607356025703
13,-4.00326601526926,-4.00326601526926,-4.00326601526926,48.0847328041457
14,-3.95638616049538,-3.95638616049538,-3.95638616049538,48.0783611314472
15,-4.00397513285264,-4.00397513285264,-4.00397513285264,48.1048074876061
16,-3.95567200818,-3.95567200818,-3.95567200818,48.0981294896449
17,-4.00475069112589,-4.00475069112589,-4.00475069112589,48.1274481672084
18,-3.95488966786364,-3.95488966786364,-3.95488966786364,48.1204554174705
19,-4.00560370779971,-4.00560370779971,-4.00560370779971,48.153176518175
20,-3.95402756677673,-3.95402756677673,-3.95402756677673,48.1458677359565
21,-4.00654792598657,-4.00654792598657,-4.00654792598657,48.1826650240907
22,-3.95307119183668,-3.95307119183668,-3.95307119183668,48.1750513531959
23,-4.00760074268067,-4.00760074268067,-4.00760074268067,48.2167954228653
24,-3.9520020572488,-3.9520020572488,-3.9520020572488,48.2089092540335
25,-4.00878455379279,-4.00878455379279,-4.00878455379279,48.2567464821505
26,-3.95079619300357,-3.95079619300357,-3.95079619300357,48.2486564872794
27,-4.01012875529722,-4.01012875529722,-4.01012875529722,48.3041297603136
28,-3.9494218681299,-3.9494218681299,-3.9494218681299,48.2959671705589
29,-4.01167281379186,-4.01167281379186,-4.01167281379186,48.3612068618568
30,-3.94783604605262,-3.94783604605262,-3.94783604605262,48.353212895061
31,-4.01347115103662,-4.01347115103662,-4.01347115103662,48.4312512561451
32,-3.94597864700242,-3.94597864700242,-3.94597864700242,48.4238662060523
33,-4.01560125380781,-4.01560125380781,-4.01560125380776,48.519180091098
34,-3.94376281851065,-3.94376281851065,-3.9437628185107,48.5132192203913
35,-4.01817785197222,-4.01817785197222,-4.0181778519721,48.6327224775885
36,-3.94105747482565,-3.94105747482565,-3.9410574748258,48.6297457087252
37,-4.02137933162741,-4.02137933162741,-4.02137933162722,48.7847378723812
38,-3.93765366928456,-3.93765366928456,-3.93765366928479,48.7878914036357
39,-4.02550105672893,-4.02550105672893,-4.02550105672873,48.9982476318722
40,-3.93319368296274,-3.93319368296274,-3.93319368296295,49.0143911844842
41,-4.031074936411,-4.031074936411,-4.03107493641073,49.318717089151
42,-3.92700222307163,-3.92700222307163,-3.92700222307192,49.364622746066
43,-4.03917911075722,-4.03917911075722,-4.03917911075695,49.8493147336893
44,-3.917609351847,-3.917609351847,-3.91760935184742,49.9738372582707
45,-4.05242998563008,-4.05242998563008,-4.05242998562946,50.879733479918
46,-3.90099041659375,-3.90099041659375,-3.90099041659463,51.2734063915333
47,-4.0795145023276,-4.0795145023276,-4.07951450232598,53.5941504259577
48,-3.8599184386014,-3.8599184386014,-3.85991843860426,55.5860397167639
49,-4.18118508318569,-4.18118508318569,-4.18118508317634,69.8760224956265
50,-3.39966185208109,-3.39966185208109,-3.39966185218734,88.906092141409
51,-3.67639404941274,-3.67639404941274,-3.67639404917088,83.9326834830331
52,-3.11494447375442,-3.11494447375442,-3.11494447572516,36.5983850105701
53,-2.79455561505571,-2.79455561505571,-2.79455560961268,45.1393615006733
54,-3.78129054477846,-3.78129054477846,-3.78129066548931,67.0342628941256
55,-5.14802355156056,-5.14802355156056,-5.14801835804135,91.5725335505367
56,-4.63812507162559,-4.63812507162559,-4.63815239127986,113.929254163415
57,-4.3327171728706,-4.3327171728706,-4.33262746068356,101.210948262055
58,-4.98416922977175,-4.98416922977175,-4.98490817802287,74.6769769330001
59,-4.96526933802066,-4.96526933802066,-4.96453898425983,74.6759481136617
60,-4.98422016231325,-4.98422016231325,-4.9849709086644,74.677610802214
61,-4.96521898998459,-4.96521898998459,-4.96447699353509,74.6765647595392
62,-4.98427185391516,-4.98427185391516,-4.98503472060119,74.6782583980863
63,-4.96516789287985,-4.96516789287985,-4.96441393574271,74.6771946879279
64,-4.98432432390176,-4.98432432390176,-4.98509964565392,74.6789201723061
65,-4.96511602763965,-4.96511602763965,-4.96434977947276,74.6778383344358
66,-4.98437759229441,-4.98437759229441,-4.98516571697145,74.6795965966829
67,-4.96506337450919,-4.96506337450919,-4.96428449200306,74.6784961540311
68,-4.984431679844,-4.984431679844,-4.98523296910281,74.680288164284
69,-4.96500991301318,-4.96500991301318,-4.96421803922747,74.6791686221389
70,-4.9844866080657,-4.9844866080657,-4.9853014380743,74.6809953906521
71,-4.96495562192178,-4.96495562192178,-4.96415038557986,74.6798562358088
72,-4.98454239927537,-4.98454239927537,-4.98537116147155,74.6817188151056
73,-4.96490047921451,-4.96490047921451,-4.96408149395266,74.680559514965
74,-4.9845990766282,-4.9845990766282,-4.98544217852739,74.6824590021311
75,-4.96484446204188,-4.96484446204188,-4.96401132560989,74.6812790037463
76,-4.98465666416008,-4.98465666416008,-4.98551453021595,74.6832165428796
77,-4.96478754668476,-4.96478754668476,-4.96393984009403,74.6820152719412
78,-4.98471518683084,-4.98471518683084,-4.98558825935315,74.6839920567653
79,-4.9647297085114,-4.9647297085114,-4.96386699512633,74.6827689165258
80,-4.98477467057051,-4.98477467057051,-4.98566341070453,74.6847861931849
81,-4.96467092193181,-4.96467092193181,-4.96379274650017,74.6835405633145
82,-4.9848351423284,-4.9848351423284,-4.98574003110088,74.685599633364
83,-4.96461116034909,-4.96461116034909,-4.96371704796618,74.6843308687363
84,-4.98489663012517,-4.98489663012517,-4.98581816956237,74.6864330923432
85,-4.96455039610806,-4.96455039610806,-4.96363985110949,74.6851405217399
86,-4.98495916310811,-4.98495916310811,-4.98589787743183,74.6872873211129
87,-4.96448860044046,-4.96448860044046,-4.96356110521753,74.6859702458468
88,-4.9850227716102,-4.9850227716102,-4.98597920851812,74.6881631089161
89,-4.96442574340649,-4.96442574340649,-4.96348075713768,74.6868208013643
90,-4.98508748721281,-4.98508748721281,-4.98606221925064,74.6890612857312
91,-4.96436179383287,-4.96436179383287,-4.9633987511243,74.6876929877683
92,-4.98515334281251,-4.98515334281251,-4.98614696884551,74.6899827249495
93,-4.96429671924666,-4.96429671924666,-4.96331502867374,74.6885876462776
94,-4.9852203726923,-4.9852203726923,-4.98623351948499,74.6909283462701
95,-4.96423048580469,-4.96423048580469,-4.9632295283463,74.6895056626347
96,-4.98528861259769,-4.98528861259769,-4.98632193651131,74.6918991188313
97,-4.96416305821831,-4.96416305821831,-4.96314218557406,74.6904479701133
98,-4.98535809981788,-4.98535809981788,-4.98641228863599,74.6928960646006
99,-4.96409439967298,-4.96409439967298,-4.96305293245282,74.6914155527761
100,-4.98542887327253,-4.98542887327253,-4.98650464816645,74.6939202620487
