"Iteracion","X1","X2","X3","f_x"
1,-4,-4,-4,80050
2,-3.23797131300641,-3.90419749121505,5.23357993516501,30763.7175368269
3,-2.59214582116491,-3.75979232958664,9.1105964532906,13542.0356247413
4,-2.04796157944259,-3.53899919538388,9.96304474263575,6666.16016464968
5,-1.59890687536944,-3.204733896958,8.87785077946665,3537.51626041715
6,-1.24328201249246,-2.73978449279209,6.59400683308171,1938.84863893603
7,-0.969626249599422,-2.21734652786222,4.18747808046806,1064.39062061031
8,-0.757244145550761,-1.7380713738416,2.42661365522682,580.200263179175
9,-0.595164469185895,-1.3178097698545,1.26286355106225,309.930158853385
10,-0.474658807081553,-0.958089003499149,0.551655989650424,159.465914734692
11,-0.387218446225624,-0.660554441811113,0.16466608071004,77.7518826125741
12,-0.325092355372221,-0.425299348256027,-0.0102984683598153,35.6366929095864
13,-0.281479163284852,-0.249873560272068,-0.0639264129601124,15.6320883468597
14,-0.250283958779521,-0.128521922288924,-0.0613899400739262,7.09810143310045
15,-0.225423589625432,-0.0523727508960656,-0.0420097035587825,3.87421857390003
16,-0.199531104489139,-0.0112817381332758,-0.0239374980121661,2.78054073612863
17,-0.1610621702965,0.00313138495144936,-0.0122303203590785,2.40882242466743
18,-0.0870559957138014,-0.00406970603076459,-0.00615535616955333,2.20722461478048
19,0.0481308940079404,-0.0164840623382575,-0.00296835126972606,1.97569087926239
20,0.157314211456328,0.00810163943046653,-0.00215885796045031,1.72218587025247
21,0.284733770699918,0.0607084289094363,-0.000194208219588981,1.43685253787138
22,0.392557380106862,0.13564945544104,0.0108447565237194,1.15584478600026
23,0.491593263630508,0.224703049040237,0.0387829085961812,0.902038961450669
24,0.570426545712336,0.311648036827367,0.0837107921311489,0.695228913959171
25,0.637539602226488,0.395423727487958,0.142634704551211,0.52790092107926
26,0.695167680901174,0.474465541576129,0.21200733191415,0.394027908358453
27,0.745485172645151,0.548738206218545,0.289042081136372,0.287901127277133
28,0.789629390557062,0.617934007697537,0.371018610013033,0.205060013244563
29,0.82837167618265,0.681776420508721,0.455331319960078,0.141680783158747
30,0.862238281265463,0.739978127742694,0.53943630701183,0.0944102681267189
31,0.891601135549585,0.792255485221777,0.620870170496121,0.060257605490176
32,0.916728544020464,0.838338173948033,0.697287988014346,0.0365404315381622
33,0.937823814751185,0.877990835293328,0.766534120365223,0.0208621378912473
34,0.955062995756014,0.911054374065676,0.826759981661123,0.0111124955360731
35,0.968639676703509,0.937515189333349,0.876604510064576,0.00548670969604775
36,0.978819376150296,0.957602417708686,0.915433783574633,0.00251574453036525
37,0.985992662019276,0.97188656239239,0.943575149956108,0.00109295308982049
38,0.990694917950292,0.981309300289807,0.962384984744394,0.000472703736059435
39,0.993555355635933,0.987064584741536,0.973971892106422,0.000220163504154528
40,0.995183456488125,0.990348334136888,0.980616738745339,0.000119524098303534
41,0.996064638201459,0.992128006888573,0.984228272726405,7.82882026742987e-05
42,0.996526087975117,0.993060622801654,0.986123676123623,6.04334043771178e-05
43,0.996763099827699,0.99353979728501,0.987098236963161,5.22660385936073e-05
44,0.996883552145268,0.993783353435659,0.987593748333236,4.83766829829451e-05
45,0.996944428398479,0.993906450568599,0.987844214712674,4.6478065352869e-05
46,0.996975107627421,0.993968485723423,0.987970437878355,4.55383050779573e-05
47,0.996990546480641,0.993999702667023,0.988033951561153,4.50697167343638e-05
48,0.996998310214805,0.994015399865173,0.98806588625223,4.48351773828136e-05
49,0.997002212942447,0.994023290156139,0.988081936852133,4.47175576752286e-05
50,0.997004174434907,0.994027255522657,0.988090002445831,4.46585145613373e-05
