"iteracion","mejor_valor_enjambre","mejor_posicion_enjambre","diferencia_abs"
136,332.139596594185,"-9.54915574226572, 9.54915798551799, 9.54914710566192",8.92703155841446e-09
137,332.139596593445,"-9.54914781367296, 9.54915849946479, 9.54915771336901",7.3936234912253e-10
138,332.1395965973,"-9.54915170399887, 9.54916035254711, 9.54915701163579",3.85500698030228e-09
139,332.139596589156,"-9.54914997186421, 9.54914624358221, 9.54915102430687",8.14384293335024e-09
140,332.139596558362,"-9.54914615895126, 9.54914725515468, 9.54914233553694",3.07948653244239e-08
141,332.139596589502,"-9.54915843796086, 9.54915897459149, 9.54914698803788",3.11401890940033e-08
142,332.139596591844,"-9.54914576010077, 9.54915277339119, 9.54915212693313",2.3425172912539e-09
143,332.13959660003,"-9.54915269449189, 9.54914974296279, 9.54915788155292",8.18619128040154e-09
144,332.139596605088,"-9.54915344585559, 9.5491546066138, 9.5491514165138",5.05752950630267e-09
145,332.139596603152,"-9.54915480245941, 9.54915729367453, 9.54915109723276",1.93642790691229e-09
146,332.139596599732,"-9.54915831241949, 9.54915649364274, 9.54915019718254",3.41952954840963e-09
